Name,WHO Region,cumulativetotal,cumulativetotalper100000,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,casesnew24h,cumulativedeathstotal,deathsper100000,deathsnew7total,Deaths - newly reported in last 7 days per 100000 population,deathsnew24h,Transmission Classification
Democratic Republic of the Congo,Africa,29498,32.94,604,0.67,93,756,0.84,11,0.01,4,Community transmission
Maldives,South-East Asia,27874,5156.66,1526,282.31,253,71,13.13,1,0.18,0,Clusters of cases
Angola,Africa,25492,77.56,1192,3.63,213,577,1.76,16,0.05,3,Community transmission
Rwanda,Africa,24535,189.43,669,5.17,76,328,2.53,6,0.05,0,Community transmission
Gabon,Africa,22433,1007.89,575,25.83,0,138,6.2,5,0.22,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,22135,126.48,993,5.67,136,1537,8.78,91,0.52,11,Community transmission
Guinea,Africa,21803,166.02,343,2.61,0,139,1.06,1,0.01,0,Community transmission
Cabo Verde,Africa,21784,3918.08,1809,325.37,0,201,36.15,12,2.16,0,Community transmission
Mayotte,Africa,19849,7275.63,60,21.99,0,169,61.95,1,0.37,0,Community transmission
Réunion,Africa,19343,2160.48,918,102.53,0,141,15.75,6,0.67,0,Community transmission
French Guiana,Americas,18826,6303.02,745,249.43,0,98,32.81,3,1,0,Community transmission
French Polynesia,Western Pacific,18734,6669.09,38,13.53,0,141,50.19,0,0,0,Sporadic cases
Eswatini,Africa,18440,1589.43,25,2.15,6,671,57.84,0,0,0,Community transmission
Mauritania,Africa,18192,391.25,71,1.53,0,454,9.76,2,0.04,0,Community transmission
Guadeloupe,Americas,13770,3441.43,843,210.68,843,211,52.73,17,4.25,17,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mali,Africa,13560,66.96,580,2.86,56,462,2.28,33,0.16,2,Community transmission
Somalia,Eastern Mediterranean,13459,84.68,380,2.39,0,689,4.34,19,0.12,0,Community transmission
Burkina Faso,Africa,13231,63.3,117,0.56,0,156,0.75,2,0.01,0,Community transmission
Andorra,Europe,13024,16856.27,253,327.44,17,124,160.49,1,1.29,0,Community transmission
Haiti,Americas,12958,113.64,40,0.35,0,252,2.21,1,0.01,1,Community transmission
Togo,Africa,12787,154.46,291,3.52,45,121,1.46,2,0.02,0,Community transmission
Guyana,Americas,12600,1601.93,838,106.54,152,279,35.47,11,1.4,2,Clusters of cases
Belize,Americas,12599,3168.54,61,15.34,0,321,80.73,3,0.75,0,Community transmission
Curaçao,Americas,12022,7326.33,348,212.07,0,99,60.33,19,11.58,0,Community transmission
Papua New Guinea,Western Pacific,10835,121.1,1036,11.58,165,105,1.17,15,0.17,3,Community transmission
Djibouti,Eastern Mediterranean,10802,1093.32,342,34.62,56,136,13.77,20,2.02,4,Community transmission
Lesotho,Africa,10728,500.78,19,0.89,5,316,14.75,1,0.05,0,Community transmission
Republic of the Congo,Africa,10678,193.51,594,10.76,0,144,2.61,7,0.13,0,Community transmission
South Sudan,Africa,10515,93.94,83,0.74,0,114,1.02,0,0,0,Community transmission
Martinique,Americas,10491,2795.62,733,195.33,733,70,18.65,4,1.07,4,Community transmission
Aruba,Americas,10469,9805.56,250,234.16,0,95,88.98,3,2.81,0,Community transmission
Bahamas,Americas,10050,2555.67,314,79.85,0,196,49.84,2,0.51,0,Clusters of cases
Suriname,Americas,9996,1703.96,451,76.88,64,195,33.24,8,1.36,2,Clusters of cases
Cambodia,Western Pacific,9975,59.66,2962,17.72,0,74,0.44,29,0.17,0,Sporadic cases
Trinidad and Tobago,Americas,9592,685.39,786,56.16,105,158,11.29,8,0.57,1,Community transmission
Benin,Africa,7720,63.68,109,0.9,0,97,0.8,1,0.01,0,Community transmission
Guam,Western Pacific,7697,4560.51,39,23.11,0,136,80.58,0,0,0,Clusters of cases
Equatorial Guinea,Africa,7559,538.78,300,21.38,0,107,7.63,1,0.07,0,Community transmission
Iceland,Europe,6390,1754.85,104,28.56,0,29,7.96,0,0,0,Community transmission
Central African Republic,Africa,6224,128.87,437,9.05,0,85,1.76,10,0.21,0,Community transmission
Yemen,Eastern Mediterranean,6141,20.59,325,1.09,32,1188,3.98,61,0.2,12,Community transmission
Gambia,Africa,5820,240.83,87,3.6,0,173,7.16,3,0.12,0,Community transmission
Nicaragua,Americas,5450,82.27,43,0.65,0,181,2.73,1,0.02,0,Community transmission
Seychelles,Africa,5170,5256.9,336,341.65,0,26,26.44,1,1.02,0,Community transmission
Niger,Africa,5158,21.31,44,0.18,17,191,0.79,1,0,0,Community transmission
San Marino,Europe,5047,14871.24,37,109.02,0,89,262.24,3,8.84,0,Community transmission
Chad,Africa,4752,28.93,61,0.37,5,169,1.03,1,0.01,0,Community transmission
Saint Lucia,Americas,4486,2443,85,46.29,23,70,38.12,3,1.63,0,Community transmission
Gibraltar,Europe,4283,12712.59,0,0,0,94,279.01,0,0,0,Clusters of cases
Sierra Leone,Africa,4044,50.7,24,0.3,0,79,0.99,0,0,0,Community transmission
Burundi,Africa,3853,32.4,241,2.03,48,6,0.05,0,0,0,Community transmission
Comoros,Africa,3829,440.32,14,1.61,3,146,16.79,0,0,0,Community transmission
Barbados,Americas,3824,1330.67,51,17.75,4,44,15.31,0,0,0,Community transmission
Guinea-Bissau,Africa,3724,189.23,14,0.71,2,67,3.4,1,0.05,1,Community transmission
Eritrea,Africa,3605,101.65,114,3.21,0,10,0.28,0,0,0,Community transmission
Jersey,Europe,3233,2999.18,1,0.93,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3080,2949.49,41,39.26,0,27,25.86,0,0,0,Community transmission
Liechtenstein,Europe,2947,7605.75,40,103.23,0,56,144.53,0,0,0,Sporadic cases
Vietnam,Western Pacific,2846,2.92,61,0.06,13,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2429,6189.48,34,86.64,3,31,78.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2376,6136.68,7,18.08,0,17,43.91,0,0,0,Clusters of cases
Bermuda,Americas,2335,3749.62,212,340.44,20,23,36.93,5,8.03,0,Community transmission
Sao Tome and Principe,Africa,2298,1048.55,23,10.49,6,35,15.97,0,0,0,Community transmission
New Zealand,Western Pacific,2245,46.56,5,0.1,0,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2212,5158.34,10,23.32,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2086,41.24,15,0.3,0,85,1.68,0,0,0,Community transmission
Timor-Leste,South-East Asia,1897,143.88,591,44.83,89,3,0.23,1,0.08,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,1830,1649.54,11,9.92,0,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1728,4469.85,18,46.56,18,13,33.63,0,0,0,Community transmission
Isle of Man,Europe,1585,1864,10,11.76,1,29,34.1,0,0,0,No cases
Bonaire,Americas,1527,7300.98,16,76.5,0,15,71.72,1,4.78,0,Community transmission
Antigua and Barbuda,Americas,1227,1252.95,11,11.23,5,31,31.66,0,0,0,Clusters of cases
Mauritius,Africa,1206,94.83,3,0.24,0,16,1.26,1,0.08,0,Clusters of cases
Bhutan,South-East Asia,1022,132.45,65,8.42,4,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,976,9873.55,22,222.56,22,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,663,1356.8,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,534,812.54,9,13.69,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,449,3992.53,2,17.78,0,5,44.46,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,323,4.44,265,3.64,76,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,223,50.97,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,194,641.6,7,23.15,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,173,240.31,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,164,284.93,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,0,0,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,91,10.15,17,1.9,4,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,63,1808.79,1,28.71,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,58,386.62,29,193.31,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
North Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
